annotation_id,source_id,line_number,tag,keyword,value
1,1,13,begin,@begin,clean_event_date_workflow
2,1,13,desc,@desc,Clean eventDate field
3,1,14,in,@in,output1_data
4,1,14,uri,@uri,file:{CurrentRunDir}/demo_output_name_val.csv
5,1,14,as,@as,data_with_cleaned_names
6,1,15,param,@param,record_id_data
7,1,15,uri,@uri,file:{CurrentRunDir}/record_id.txt
8,1,16,out,@out,output2_data
9,1,16,uri,@uri,file:{CurrentRunDir}/demo_output_name_date_val.csv
10,1,16,as,@as,data_with_cleaned_names_and_dates
11,1,17,out,@out,date_val_log
12,1,17,uri,@uri,file:{CurrentRunDir}/date_val_log.txt
13,1,17,as,@as,date_cleaning_log
14,1,21,begin,@begin,create_RunID_directory
15,1,21,desc,@desc,create a separate directory for individual run
16,1,22,param,@param,RunIDList
17,1,22,as,@as,existing_RunID_structure
18,1,23,out,@out,CurrentRunDir
19,1,23,as,@as,newly_created_RunID_directory
20,1,41,end,@end,create_RunID_directory
21,1,45,begin,@begin,copy_file
22,1,45,desc,@desc,"copy related file (script, data file, script, etc.) into a designated directory"
23,1,46,param,@param,filename
24,1,46,as,@as,source_file_to_be_copied
25,1,47,param,@param,CurrentRunDir
26,1,47,as,@as,newly_created_RunID_directory
27,1,48,out,@out,record_id_data
28,1,48,uri,@uri,file:{CurrentRunDir}/record_id.txt
29,1,49,out,@out,output1_data
30,1,49,uri,@uri,file:{CurrentRunDir}/demo_output_name_val.csv
31,1,49,as,@as,data_with_cleaned_names
32,1,57,end,@end,copy_file
33,1,62,begin,@begin,clean_event_date
34,1,62,desc,@desc,Clean eventDate field
35,1,63,param,@param,CurrentRunDir
36,1,63,as,@as,newly_created_RunID_directory
37,1,64,in,@in,input2_data
38,1,64,uri,@uri,file:{CurrentRunDir}/demo_output_name_val.csv
39,1,64,as,@as,data_with_cleaned_names
40,1,65,param,@param,record_id_data
41,1,65,uri,@uri,file:{CurrentRunDir}/record_id.txt
42,1,66,out,@out,output2_data
43,1,66,uri,@uri,file:{CurrentRunDir}/demo_output_name_date_val.csv
44,1,66,as,@as,data_with_cleaned_names_and_dates
45,1,67,out,@out,date_val_log
46,1,67,uri,@uri,file:{CurrentRunDir}/date_val_log.txt
47,1,67,as,@as,date_cleaning_log
48,1,99,begin,@begin,initialize_run
49,1,99,desc,@desc,Create the run log file
50,1,100,out,@out,date_val_log
51,1,100,uri,@uri,file:date_val_log.txt
52,1,100,as,@as,date_cleaning_log
53,1,101,log,@log,{timestamp} Reading input records from {input2_data_file_name}
54,1,107,end,@end,initialize_run
55,1,111,begin,@begin,read_data_records
56,1,111,desc,@desc,Read data with cleaned names
57,1,112,in,@in,input2_data
58,1,112,uri,@uri,file:demo_output_name_val.csv
59,1,112,as,@as,data_with_cleaned_names
60,1,113,in,@in,record_id_data
61,1,113,uri,@uri,file:record_id.txt
62,1,114,out,@out,original2_eventDate
63,1,114,as,@as,eventDate
64,1,115,out,@out,RecordID
65,1,116,out,@out,original2_others
66,1,116,as,@as,other_fields
67,1,117,out,@out,date_val_log
68,1,117,uri,@uri,file:date_val_log.txt
69,1,117,as,@as,date_cleaning_log
70,1,118,log,@log,{timestamp} Reading input record {RecordID}
71,1,148,end,@end,read_input2_data_records
72,1,152,begin,@begin,check_if_date_is_nonempty
73,1,152,desc,@desc,Check if eventDate value is present
74,1,153,in,@in,original2_eventDate
75,1,153,as,@as,eventDate
76,1,154,out,@out,original2_eventDate
77,1,154,as,@as,empty_eventDate
78,1,155,out,@out,original2_eventDate
79,1,155,as,@as,nonEmpty_eventDate
